month,category,unitePrice,value
2025-01,Temakis,73.28,4
2025-01,Sopas,223.28,11
2025-01,Margaritas,73.28,2
2025-01,Sashimi,361.21,1
2025-01,Arroz,128.45,54
2025-01,Sopas,223.28,11
2025-01,Margaritas,73.28,2
2025-01,Pastas,279.31,13
2025-01,Arroz,128.45,44
2025-01,Extras,43.10,108
2025-01,Vegano,138.79,2
2025-01,Extras,43.10,106
2025-01,PokeBowl,203.45,74
2025-01,Rollos Horneados,197.41,38
2025-01,Cocteles sin Alcohol,59.48,13
2025-01,PokeBowl,203.45,112
2025-01,Rollos Horneados,197.41,41
2025-01,Tes Calientes o Frios,38.79,3
2025-01,Rollos Capeados,171.55,6
2025-01,Jarras Limonada,107.76,3
2025-01,Rollos Capeados,171.55,13
2025-01,Sopas,223.28,8
2025-01,Vinos,90.52,1
2025-01,Cocteles,90.52,10
2025-01,Kids,102.59,12
2025-01,Kids,128.45,4
2025-01,Jarras Limonada,107.76,2
2025-01,Entradas,145.69,25
2025-01,Tempuras,116.38,10
2025-01,Limonadas,38.79,120
2025-01,Jarras Limonada,107.76,1
2025-01,Martinis,47.41,1
2025-01,Mojitos,64.66,4
2025-01,Rollos Naturales,236.21,91
2025-01,Mojitos,64.66,4
2025-01,Martinis,47.41,1
2025-01,Cervezas,137.07,15
2025-01,Rollos Empanizados,181.90,58
2025-01,Entradas,257.76,42
2025-01,Tazones,197.41,6
2025-01,Whisky,116.38,1
2025-01,Tazones,225.00,13
2025-01,Martinis,47.41,2
2025-01,Rollos Empanizados,181.90,51
2025-01,Tempuras,116.38,9
2025-01,Tempuras,116.38,15
2025-01,Limonadas,38.79,99
2025-01,Rollos Empanizados,181.90,47
2025-01,Sashimi,361.21,2
2025-01,Tazones,197.41,4
2025-01,Mojitos,64.66,3
2025-01,Cocteles sin Alcohol,59.48,10
2025-01,Cocteles sin Alcohol,59.48,7
2025-01,Tes Calientes o Frios,107.76,11
2025-01,Arroz,128.45,29
2025-01,Teppanyaki,231.90,5
2025-01,Tempuras,116.38,4
2025-01,Pastas,223.28,9
2025-01,Extras,43.10,195
2025-01,Cocteles,90.52,4
2025-01,PokeBowl,203.45,48
2025-01,Nigiri,38.79,16
2025-01,Cocteles,90.52,12
2025-01,Rollos Horneados,197.41,71
2025-01,Postres,90.52,7
2025-01,Teppanyaki,231.90,9
2025-01,Sopas,223.28,12
2025-01,Refrescos,42.24,35
2025-01,Postres,90.52,14
2025-01,Rollos Capeados,171.55,4
2025-01,Arroz,128.45,35
2025-01,Limonadas,38.79,67
2025-01,Teppanyaki,231.90,9
2025-01,Entradas,180.17,32
2025-01,Tes Calientes o Frios,33.62,12
2025-01,Vegano,138.79,4
2025-01,Extras,43.10,201
2025-01,Cocteles sin Alcohol,59.48,16
2025-01,Pastas,223.28,5
2025-01,Digestivo,99.14,3
2025-01,Kids,102.59,2
2025-01,Cocteles sin Alcohol,59.48,17
2025-01,Pastas,231.90,11
2025-01,Cocteles,90.52,5
2025-01,PokeBowl,203.45,27
2025-01,Tes Calientes o Frios,38.79,17
2025-01,Postres,90.52,7
2025-01,Refrescos,42.24,35
2025-01,Teppanyaki,231.90,2
2025-01,Rollos Capeados,171.55,7
2025-01,Postres,90.52,5
